Time_ns,H-CDR1,H-CDR2,H-CDR3,L-CDR1,L-CDR2,L-CDR3
94.000,6.701,8.659,7.114,7.698,4.571,6.035
94.500,7.004,9.481,8.003,9.710,5.506,8.431
95.000,9.309,14.112,8.682,8.424,4.665,8.740
95.500,9.342,12.024,9.119,9.426,7.074,8.449
96.000,11.476,15.225,9.545,9.652,9.573,9.514
96.500,15.319,15.456,10.674,9.720,9.800,10.042
97.000,15.615,16.664,12.710,12.085,11.915,10.296
97.500,21.297,20.993,17.301,13.673,10.798,14.321
98.000,18.390,17.130,14.883,13.778,10.329,12.688
98.500,16.644,16.987,14.262,11.916,9.678,11.641
99.000,22.020,23.832,17.880,11.811,8.267,14.938
99.500,22.653,23.657,17.464,12.340,7.908,14.644
100.000,20.233,21.896,16.734,12.858,9.266,15.077
100.500,23.979,25.862,19.770,12.473,9.072,16.052
101.000,18.353,19.234,16.597,13.270,10.523,14.311
101.500,17.464,19.157,16.165,11.755,9.972,12.329
102.000,20.315,21.187,16.621,11.175,9.138,12.978
102.500,19.064,20.317,15.765,12.529,9.482,12.998
103.000,18.109,19.937,15.374,12.252,9.415,12.300
103.500,15.647,17.818,14.105,10.909,8.693,11.361
104.000,18.188,17.561,14.456,13.828,10.419,12.593
104.500,16.644,17.307,14.077,12.969,10.604,12.129
105.000,17.895,19.617,16.240,12.907,10.015,13.285
105.500,19.763,19.796,15.768,11.660,9.380,12.137
106.000,17.667,17.920,14.444,12.544,9.469,12.141
106.500,21.850,22.261,17.390,15.433,10.937,15.578
107.000,16.177,18.201,14.787,12.500,8.837,12.452
107.500,16.788,17.748,14.748,12.750,9.706,11.714
108.000,16.811,18.894,15.133,14.494,9.989,13.393
108.500,15.770,18.621,14.447,12.547,8.940,11.362
109.000,15.244,17.404,14.341,13.088,9.888,12.124
109.500,16.406,18.600,15.581,12.097,9.167,11.677
110.000,16.419,18.594,15.287,13.385,10.514,12.999
110.500,14.913,18.965,14.624,10.659,9.796,9.350
111.000,18.518,20.573,15.491,11.917,9.136,11.884
111.500,19.949,21.994,17.196,11.340,9.581,11.898
112.000,19.258,21.292,16.346,11.965,9.779,12.605
112.500,15.205,18.923,15.430,10.019,8.735,10.069
113.000,15.992,18.162,14.716,8.937,8.040,10.571
113.500,12.660,15.371,11.807,7.756,6.895,7.838
114.000,15.259,18.009,13.099,8.005,6.222,8.330
114.500,16.380,17.878,14.568,7.527,6.452,7.830
115.000,15.811,18.612,14.904,7.305,6.633,8.552
115.500,15.001,17.474,13.911,6.641,5.715,8.487
116.000,14.531,16.058,12.729,5.756,5.866,6.337
116.500,10.523,13.978,11.750,5.073,6.707,5.613
117.000,12.814,16.594,13.686,8.055,7.259,8.191
117.500,16.116,19.388,14.427,8.554,7.303,9.664
118.000,15.936,19.600,14.753,7.959,8.048,9.040
118.500,15.780,17.339,15.005,6.032,7.226,6.827
119.000,12.051,15.657,12.634,6.388,7.361,6.902
119.500,10.834,16.012,13.574,7.386,7.501,7.346
120.000,11.077,13.955,12.417,6.446,7.288,6.534
120.500,7.356,13.032,11.463,6.537,7.478,6.914
121.000,10.088,13.312,12.879,7.032,7.847,7.464
121.500,13.176,16.040,14.543,7.463,7.457,8.081
122.000,13.787,16.211,15.015,7.303,7.094,8.623
122.500,11.321,14.014,13.965,5.611,6.695,6.481
123.000,10.565,13.778,13.774,6.928,7.057,6.866
123.500,12.415,14.712,14.122,7.053,7.219,7.565
124.000,10.653,14.189,13.011,6.160,6.501,6.958
124.500,11.897,13.758,14.093,6.505,7.046,7.064
125.000,12.908,15.719,14.380,6.910,6.953,8.111
125.500,12.486,15.940,13.929,5.967,6.702,6.925
126.000,15.294,17.223,15.185,7.113,7.330,7.921
126.500,15.433,17.135,15.056,6.963,8.005,7.276
127.000,11.383,15.569,13.530,7.622,7.428,8.299
127.500,10.984,13.230,13.305,6.438,6.886,7.196
128.000,10.998,14.093,13.193,5.807,7.005,6.189
128.500,10.809,13.317,14.349,6.972,8.094,7.475
129.000,11.098,14.695,14.124,6.997,7.776,6.985
129.500,13.911,17.213,15.242,7.829,7.510,8.239
130.000,12.260,15.468,14.040,8.433,8.070,8.083
130.500,9.445,15.764,12.593,7.172,7.117,8.360
131.000,12.339,15.982,12.620,6.113,5.968,6.865
131.500,8.821,13.166,13.038,7.310,7.647,7.181
