POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
84,-0.0,0.0,-0.0,0.0,-0.0,0.0,-59.24,-89.06,-0.0,0.0,126.71,-40.04,91.32,-148.3,177.98,29.68
85,0.0,0.0,-0.0,0.0,0.0,-0.0,-57.94,-74.44,0.0,0.0,109.34,-37.92,85.76,-132.37,157.18,24.81
86,0.0,0.0,0.0,0.0,0.0,0.0,-55.25,-89.37,0.0,-0.0,121.96,-36.09,82.61,-144.62,168.48,23.86
87,-0.0,0.0,0.0,0.0,0.0,0.0,-51.73,-68.34,-0.0,0.0,98.66,-31.76,78.98,-120.06,145.88,25.81
88,0.0,0.0,0.0,-0.0,-0.0,0.0,-56.62,-68.04,0.0,0.0,111.03,-37.0,83.1,-124.66,157.12,32.46
89,0.0,0.0,0.0,0.0,0.0,0.0,-55.88,-65.16,-0.0,-0.0,98.29,-39.21,85.42,-121.04,144.5,23.46
90,-0.0,-0.0,0.0,0.0,0.0,0.0,-51.75,-100.56,0.0,-0.0,129.48,-39.6,84.51,-152.31,174.39,22.07
91,-0.0,0.0,-0.0,0.0,-0.0,0.0,-53.42,-81.78,0.0,-0.0,110.96,-33.54,79.52,-135.2,156.95,21.75
92,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-52.39,-89.38,0.0,-0.0,118.0,-33.15,81.7,-141.77,166.54,24.78
93,0.0,-0.0,0.0,-0.0,0.0,0.0,-45.13,-48.45,0.0,0.0,72.89,-29.25,71.06,-93.58,114.69,21.12
94,-0.0,-0.0,0.0,0.0,0.0,0.0,-50.72,-56.63,-0.0,0.0,92.43,-34.66,82.27,-107.35,140.05,32.7
95,-0.0,0.0,-0.0,0.0,0.0,0.0,-57.45,-63.34,0.0,0.0,106.34,-35.58,82.1,-120.78,152.86,32.07
96,0.0,-0.0,0.0,0.0,-0.0,0.0,-53.54,-74.65,0.0,0.0,93.86,-34.77,75.81,-128.19,134.9,6.7
97,0.0,0.0,-0.0,0.0,0.0,0.0,-57.66,-85.22,-0.0,0.0,116.14,-36.05,83.26,-142.88,163.34,20.46
98,-0.0,0.0,0.0,0.0,0.0,0.0,-56.78,-91.41,0.0,0.0,114.82,-39.89,85.31,-148.19,160.24,12.06
99,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-64.92,-101.22,-0.0,0.0,138.17,-38.09,90.4,-166.14,190.48,24.34
100,0.0,-0.0,0.0,0.0,0.0,0.0,-65.6,-91.46,0.0,0.0,126.83,-40.17,91.84,-157.05,178.5,21.45
101,-0.0,0.0,0.0,0.0,-0.0,0.0,-65.42,-104.89,0.0,0.0,142.28,-40.93,91.58,-170.31,192.94,22.63
102,0.0,0.0,0.0,0.0,0.0,0.0,-58.13,-87.38,0.0,0.0,121.52,-36.79,88.78,-145.5,173.51,28.01
103,0.0,0.0,0.0,0.0,0.0,0.0,-60.85,-87.57,0.0,-0.0,118.97,-38.98,86.68,-148.42,166.67,18.25
104,0.0,0.0,0.0,-0.0,0.0,0.0,-62.63,-101.52,-0.0,-0.0,137.8,-40.8,93.26,-164.15,190.25,26.1
105,0.0,0.0,-0.0,-0.0,-0.0,0.0,-60.44,-79.4,-0.0,0.0,118.78,-40.09,92.17,-139.84,170.85,31.01
106,0.0,-0.0,0.0,0.0,-0.0,0.0,-58.95,-61.07,0.0,-0.0,95.75,-37.11,85.11,-120.02,143.75,23.73
107,-0.0,-0.0,0.0,0.0,0.0,0.0,-63.85,-84.28,0.0,-0.0,117.59,-41.06,92.13,-148.13,168.65,20.52
108,-0.0,0.0,0.0,0.0,0.0,-0.0,-60.41,-69.04,-0.0,-0.0,101.62,-39.64,90.66,-129.46,152.65,23.19
109,0.0,0.0,0.0,0.0,0.0,0.0,-61.43,-98.95,0.0,0.0,130.3,-40.06,90.4,-160.38,180.64,20.26
110,0.0,0.0,-0.0,0.0,-0.0,0.0,-58.89,-96.12,0.0,-0.0,124.05,-37.81,87.86,-155.01,174.1,19.09
111,0.0,0.0,-0.0,-0.0,0.0,-0.0,-62.0,-107.63,0.0,0.0,136.75,-39.29,86.1,-169.63,183.56,13.93
112,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-66.98,-115.05,-0.0,-0.0,150.48,-40.23,91.68,-182.03,201.93,19.9
113,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-62.8,-83.29,0.0,-0.0,117.96,-39.82,91.26,-146.09,169.4,23.31
114,-0.0,0.0,-0.0,-0.0,0.0,0.0,-62.12,-89.4,-0.0,0.0,127.94,-38.97,89.6,-151.52,178.57,27.05
115,0.0,0.0,0.0,0.0,0.0,0.0,-61.98,-74.9,0.0,0.0,99.63,-37.63,88.36,-136.88,150.35,13.48
116,-0.0,0.0,-0.0,0.0,0.0,0.0,-63.13,-56.64,-0.0,-0.0,88.53,-39.19,90.44,-119.78,139.79,20.01
117,-0.0,-0.0,0.0,-0.0,0.0,0.0,-64.79,-74.78,0.0,0.0,106.8,-38.5,87.83,-139.57,156.12,16.56
118,0.0,0.0,-0.0,0.0,0.0,0.0,-65.52,-81.25,-0.0,-0.0,121.33,-41.34,95.0,-146.77,174.99,28.22
119,0.0,0.0,0.0,0.0,-0.0,0.0,-63.24,-53.19,0.0,-0.0,84.89,-40.51,89.45,-116.43,133.83,17.4
120,0.0,0.0,0.0,0.0,0.0,0.0,-58.95,-48.19,-0.0,-0.0,79.54,-35.89,86.23,-107.14,129.88,22.75
121,0.0,0.0,0.0,-0.0,0.0,-0.0,-62.19,-87.05,0.0,0.0,124.49,-39.97,91.43,-149.24,175.95,26.71
122,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-62.79,-86.27,-0.0,0.0,122.26,-38.35,90.02,-149.06,173.93,24.87
123,0.0,0.0,0.0,0.0,0.0,0.0,-57.61,-82.11,0.0,-0.0,110.24,-35.4,85.36,-139.72,160.2,20.49
