Time_ns,H-CDR1,H-CDR2,H-CDR3,L-CDR1,L-CDR2,L-CDR3
75.000,4.694,7.126,5.267,5.404,5.258,5.687
75.500,5.754,5.773,5.076,3.668,4.918,4.022
76.000,4.967,5.673,4.685,3.093,4.031,3.124
76.500,4.642,6.200,5.516,3.980,4.828,4.991
77.000,3.981,5.989,4.946,4.334,4.962,4.190
77.500,6.595,7.893,7.086,5.838,7.359,6.081
78.000,4.897,7.798,6.375,6.799,6.461,6.770
78.500,3.784,6.132,4.773,5.141,4.629,4.847
79.000,3.798,6.021,4.888,4.525,4.653,4.356
79.500,4.118,8.989,5.561,9.190,7.884,8.289
80.000,3.610,6.598,5.349,6.697,4.932,6.353
80.500,4.319,8.235,5.722,7.153,5.006,7.014
81.000,4.694,7.158,5.850,6.659,5.561,6.773
81.500,4.575,8.228,6.199,8.503,6.815,8.563
82.000,4.046,8.283,5.844,8.035,7.020,7.859
82.500,4.337,7.272,5.444,7.081,5.548,6.960
83.000,4.920,8.543,6.784,8.249,7.009,7.970
83.500,3.944,6.624,5.654,6.291,4.975,6.504
84.000,3.504,6.687,5.114,6.107,5.362,5.673
84.500,4.491,5.693,5.589,5.190,5.161,5.759
85.000,4.255,6.231,4.989,5.045,4.066,5.478
85.500,3.713,6.878,5.183,6.292,4.686,6.076
86.000,3.837,6.250,5.054,5.840,5.207,5.544
86.500,3.721,7.053,5.136,6.209,4.616,6.264
87.000,2.815,5.798,4.770,5.255,4.071,4.979
87.500,3.613,5.997,5.579,6.168,5.988,5.590
88.000,4.316,6.466,5.857,5.576,5.531,5.627
88.500,3.176,4.608,4.562,5.943,4.728,5.000
89.000,4.285,6.358,5.803,6.257,7.058,6.054
89.500,4.637,6.111,5.577,5.707,6.245,5.414
90.000,4.028,6.936,5.345,6.395,6.075,6.499
90.500,4.363,6.561,5.945,5.846,6.551,6.125
91.000,3.637,4.254,4.764,4.395,4.177,4.795
91.500,3.973,5.219,5.121,5.053,4.731,5.515
92.000,3.800,5.967,5.299,5.424,5.521,5.436
